Universe,Ticker,Signals,Rank1_Actionable,Rank2_Watchlist,Rank3_Downgraded,Rank4_Rejected,Avg_Score,Avg_Fwd_21D_Return_Pct,Avg_Fwd_63D_Return_Pct,MarketCap,Sector,Industry
NASDAQ_Top1000_ByMarketCap,SNY,23,12,11,0,0,87.91304347826087,-1.051178895981733,-7.02902416003642,101492917200.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,MAR,32,21,11,0,0,88.28125,0.8801130885692489,3.2630623756555908,101384320214.0,Consumer Discretionary,Hotels/Resorts
NASDAQ_Top1000_ByMarketCap,CEG,21,15,5,1,0,90.71428571428571,3.8450559455591606,10.052602676564067,98428807043.0,Utilities,Electric Utilities: Central
NASDAQ_Top1000_ByMarketCap,MNST,35,20,15,0,0,87.31428571428572,1.1093990537756866,5.599789282876923,93585596046.0,Consumer Staples,Beverages (Production/Distribution)
NASDAQ_Top1000_ByMarketCap,SNPS,34,21,12,1,0,87.67647058823529,1.211170538897744,5.0632592790981965,90437599991.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,HOOD,17,9,5,3,0,87.94117647058823,9.110282996587477,26.594071874773604,90100033478.0,Finance,Investment Bankers/Brokers/Service
NASDAQ_Top1000_ByMarketCap,ADP,31,20,11,0,0,89.58064516129032,-0.32953808073393254,1.570337912791428,88533442756.0,Industrials,Diversified Commercial Services
NASDAQ_Top1000_ByMarketCap,ABNB,8,3,5,0,0,83.25,-3.083522029759954,-1.9911102658593918,87663431050.0,Consumer Discretionary,Diversified Commercial Services
NASDAQ_Top1000_ByMarketCap,CSX,18,11,6,1,0,88.16666666666667,-2.6834323288423203,1.9793926162940612,86579979995.0,Industrials,Railroads
NASDAQ_Top1000_ByMarketCap,CME,26,16,10,0,0,87.3076923076923,-0.17855242542717192,-0.896642914951879,86531412064.0,Finance,Investment Bankers/Brokers/Service
NASDAQ_Top1000_ByMarketCap,MELI,28,20,8,0,0,91.35714285714286,1.590803032502098,4.572215698058302,84662266053.0,Consumer Discretionary,Business Services
NASDAQ_Top1000_ByMarketCap,CMCSA,14,5,9,0,0,84.35714285714286,-3.0742466077594863,-1.3630522276292145,80821972544.0,Telecommunications,Cable & Other Pay Television Services
NASDAQ_Top1000_ByMarketCap,MDLZ,14,6,8,0,0,83.85714285714286,-2.732763838752757,-1.6562367468747305,79592703741.0,Consumer Staples,Packaged Foods
NASDAQ_Top1000_ByMarketCap,DDOG,20,10,9,1,0,84.85,-3.019314087498309,-5.972103341342682,79233178470.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,ADBE,22,16,6,0,0,91.22727272727273,3.4637733881768638,4.030502707665952,79191937500.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,DASH,22,17,3,2,0,92.5,3.747508645631089,9.40120924391317,78477299019.0,Technology,EDP Services
NASDAQ_Top1000_ByMarketCap,NTES,26,13,12,1,0,87.88461538461539,0.8526108418128426,1.211615729420769,75755377985.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,NXPI,25,15,7,3,0,88.68,-0.986649711903975,1.8197808637515664,74699880499.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,ROST,23,18,5,0,0,93.56521739130434,-0.575156363083324,1.2925151877744925,73891920857.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores
NASDAQ_Top1000_ByMarketCap,ORLY,42,22,20,0,0,87.57142857142857,0.5272990426160247,3.0848102067095633,73229407956.0,Consumer Discretionary,Auto & Home Supply Stores
NASDAQ_Top1000_ByMarketCap,INTU,30,23,7,0,0,91.93333333333334,2.488408938112056,7.341320308171189,72970097805.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,AEP,27,15,12,0,0,86.18518518518519,-0.09775996973302445,0.7302752986800705,72874707461.0,Utilities,Electric Utilities: Central
NASDAQ_Top1000_ByMarketCap,MPWR,35,24,10,1,0,89.68571428571428,2.3541666358160125,9.326718626167745,70565419000.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,ALAB,2,0,2,0,0,71.5,-16.0436352635197,-7.314399147077298,69272804467.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,CTAS,45,34,11,0,0,90.68888888888888,0.9199163643557225,2.6046697417292624,68579460035.0,Industrials,Garments and Clothing
NASDAQ_Top1000_ByMarketCap,WBD,15,8,6,1,0,87.86666666666666,13.56586286031943,16.887291145693165,68156511244.0,Consumer Discretionary,Services-Misc. Amusement & Recreation
NASDAQ_Top1000_ByMarketCap,TER,29,21,6,2,0,90.79310344827586,3.2495318029109934,9.444944928546679,66990652806.0,Industrials,Electrical Products
NASDAQ_Top1000_ByMarketCap,NBIS,2,0,2,0,0,78.5,3.5139615507877697,82.41558658280886,66192528667.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,LITE,24,15,9,0,0,88.75,6.342732549433722,20.53754152205301,65942502000.0,Telecommunications,Telecommunications Equipment
NASDAQ_Top1000_ByMarketCap,REGN,37,21,16,0,0,86.48648648648648,0.8520324789666397,0.7481810806680778,65027457988.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,PCAR,32,14,17,1,0,85.625,0.26409546952706475,2.15727326507087,62099143591.0,Consumer Discretionary,Motor Vehicles
NASDAQ_Top1000_ByMarketCap,CRWV,0,,,,,,,,56270125486.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,BKR,26,13,10,3,0,87.42307692307692,0.24655260629248113,3.6321243677744497,55803864206.0,Consumer Discretionary,Oil and Gas Field Machinery
NASDAQ_Top1000_ByMarketCap,FLEX,43,32,10,1,0,91.69767441860465,2.321997648874535,9.568714726594306,55685780517.0,Technology,Electrical Products
NASDAQ_Top1000_ByMarketCap,FAST,41,20,20,1,0,86.6829268292683,0.23863133564592448,1.3468449214948452,53492693667.0,Consumer Discretionary,RETAIL: Building Materials
NASDAQ_Top1000_ByMarketCap,ARGX,36,26,9,1,0,90.88888888888889,-0.3450486285597488,2.9609552981077476,52272777732.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ_Top1000_ByMarketCap,FANG,30,14,15,1,0,85.66666666666667,1.2593894134246635,5.286955855496072,51468377536.0,Energy,Oil & Gas Production
NASDAQ_Top1000_ByMarketCap,EA,23,16,7,0,0,88.52173913043478,0.5223766874932669,0.2715132419230037,51307514899.0,Consumer Discretionary,Services-Misc. Amusement & Recreation
NASDAQ_Top1000_ByMarketCap,RKLB,16,7,6,3,0,85.8125,15.40641704082899,29.455190303937684,51131364067.0,Industrials,Military/Government/Technical
NASDAQ_Top1000_ByMarketCap,XEL,27,10,17,0,0,84.55555555555556,-1.984620553305533,-0.6998591466637686,50484679317.0,Utilities,Power Generation
NASDAQ_Top1000_ByMarketCap,CRDO,18,8,8,2,0,85.5,11.537015322134096,34.83785615307004,50475837431.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,FER,44,32,12,0,0,90.06818181818181,1.6838664428936008,4.938757490855967,50459169437.0,Industrials,Military/Government/Technical
NASDAQ_Top1000_ByMarketCap,MCHP,27,14,12,1,0,87.22222222222223,-2.563389191664887,1.4770179573894937,50353744412.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,EBAY,33,22,10,1,0,89.03030303030303,1.708953310421713,4.062140469212685,49507493886.0,Consumer Discretionary,Business Services
NASDAQ_Top1000_ByMarketCap,MDLN,0,,,,,,,,48442251048.0,Health Care,Medical/Dental Instruments
NASDAQ_Top1000_ByMarketCap,EXC,24,14,10,0,0,88.04166666666667,0.6501311524315024,1.5750289896911307,47773588150.0,Utilities,Power Generation
NASDAQ_Top1000_ByMarketCap,GFS,7,3,3,1,0,87.71428571428571,5.587835882620028,22.011560244474236,46844768783.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,NDAQ,41,28,12,1,0,89.60975609756098,0.8870313859697148,2.8450354802236646,46727808435.0,Finance,Investment Bankers/Brokers/Service
NASDAQ_Top1000_ByMarketCap,ODFL,33,21,10,2,0,90.33333333333333,1.5850934107307049,6.961737478472546,45461866664.0,Industrials,Trucking Freight/Courier Services
NASDAQ_Top1000_ByMarketCap,ON,28,19,8,1,0,89.96428571428571,1.7101415741112704,8.780054741651407,45111976316.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,CCEP,33,18,15,0,0,86.93939393939394,0.520020073089952,1.836854734336255,45107694543.0,Consumer Staples,Beverages (Production/Distribution)
NASDAQ_Top1000_ByMarketCap,TTWO,31,19,12,0,0,88.29032258064517,1.617628806811783,3.9563331593944233,44405895790.0,Consumer Discretionary,Services-Misc. Amusement & Recreation
NASDAQ_Top1000_ByMarketCap,IDXX,34,17,15,2,0,86.91176470588235,1.859776765058904,2.8710862823747285,43579700523.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ_Top1000_ByMarketCap,KDP,12,9,3,0,0,89.25,-3.1300295385241412,-6.7968116347459855,43068510055.0,Consumer Staples,Beverages (Production/Distribution)
NASDAQ_Top1000_ByMarketCap,UAL,21,11,9,1,0,86.33333333333333,1.4238940249666705,-3.3544118986589146,41645670110.0,Consumer Discretionary,Air Freight/Delivery Services
NASDAQ_Top1000_ByMarketCap,ADSK,28,15,13,0,0,87.75,-1.274300485420939,-1.4519685254104784,40919230000.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,COIN,15,6,8,1,0,81.26666666666667,-0.7022459592823346,2.8842381047742456,40396728443.0,Finance,Finance: Consumer Services
NASDAQ_Top1000_ByMarketCap,ALNY,34,21,11,2,0,88.0,0.01295163197247033,-1.4587151541214833,40167925150.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,CBRS,0,,,,,,,,39957178637.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,PYPL,18,14,4,0,0,92.66666666666667,2.095050788234189,1.611996344638648,37882020397.0,Industrials,Diversified Commercial Services
NASDAQ_Top1000_ByMarketCap,ERIC,23,11,12,0,0,85.04347826086956,1.2341358688855566,6.480542334796629,37607428604.0,Technology,Radio And Television Broadcasting And Communications Equipment
NASDAQ_Top1000_ByMarketCap,AXON,46,28,18,0,0,87.47826086956522,3.8551591967324033,9.120290930950175,37390844088.0,Industrials,Ordnance And Accessories
NASDAQ_Top1000_ByMarketCap,BIDU,10,6,3,1,0,87.4,8.374380543918276,17.631405393298074,36890193289.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,NTRA,44,26,14,4,0,89.25,1.276178180146573,10.08745247522435,36442586104.0,Health Care,Medical Specialities
NASDAQ_Top1000_ByMarketCap,HBAN,27,12,15,0,0,84.77777777777777,-1.380276381122908,-5.771538558567686,35799734306.0,Finance,Major Banks
NASDAQ_Top1000_ByMarketCap,ESLT,29,19,9,1,0,90.37931034482759,4.107785882450283,12.851741710237324,35794902649.0,Industrials,Military/Government/Technical
NASDAQ_Top1000_ByMarketCap,RVMD,21,12,9,0,0,86.9047619047619,5.505735675432824,16.001471753504077,35722583510.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ_Top1000_ByMarketCap,KMB,11,9,2,0,0,89.0909090909091,-1.6802950152777691,-2.6010559650776974,35587325674.0,Consumer Discretionary,Containers/Packaging
NASDAQ_Top1000_ByMarketCap,TRI,39,28,11,0,0,89.82051282051282,0.9883404232040928,1.753013374346154,35472228089.0,Consumer Discretionary,Publishing
NASDAQ_Top1000_ByMarketCap,JD,18,13,4,1,0,90.72222222222223,0.3342147914315092,9.397291692871061,35231345782.0,Consumer Discretionary,Other Specialty Stores
NASDAQ_Top1000_ByMarketCap,STLD,29,19,9,1,0,90.41379310344827,2.1489294379430897,7.576959788364289,34988904926.0,Industrials,Steel/Iron Ore
NASDAQ_Top1000_ByMarketCap,PAYX,27,17,7,3,0,88.11111111111111,-0.37292139133910646,2.0640298946674442,34247233860.0,Industrials,Diversified Commercial Services
NASDAQ_Top1000_ByMarketCap,MSTR,24,7,16,1,0,80.91666666666667,0.914150943895358,14.688094171428574,33972311577.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,RYAAY,31,19,9,3,0,88.45161290322581,2.0620342144231163,1.1942079632429468,33710536523.0,Consumer Discretionary,Air Freight/Delivery Services
NASDAQ_Top1000_ByMarketCap,ROP,24,10,14,0,0,82.66666666666667,-0.12045313914310474,-0.11451205870641849,33475297154.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,ACGL,42,24,17,1,0,88.04761904761905,0.08164104752146537,1.2601830926471018,33265382673.0,Finance,Property-Casualty Insurers
NASDAQ_Top1000_ByMarketCap,VOD,20,12,8,0,0,87.95,1.3918472538215905,-1.187196817785665,32965624127.0,Telecommunications,Telecommunications Equipment
NASDAQ_Top1000_ByMarketCap,NTRS,30,15,15,0,0,86.83333333333333,0.5038129515131677,1.6657090934928231,32444335745.0,Finance,Major Banks
NASDAQ_Top1000_ByMarketCap,EXPE,24,15,8,1,0,88.75,-0.8332342044908133,0.867327824843564,31909069391.0,Consumer Discretionary,Transportation Services
NASDAQ_Top1000_ByMarketCap,RPRX,18,10,8,0,0,87.66666666666667,0.9818010246128789,5.7011564812117586,31590154711.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,TSEM,38,30,7,1,0,90.71052631578948,2.8150049507384303,8.841764576516862,31486057122.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,ONC,30,15,13,2,0,86.8,0.3170826934520086,1.7284697583650086,31137621202.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,NTAP,31,19,12,0,0,88.58064516129032,1.8346843482234394,6.201695721938046,30686938166.0,Technology,Electronic Components
NASDAQ_Top1000_ByMarketCap,WDAY,27,12,14,1,0,84.85185185185185,0.04426757955057458,1.9959751955369909,29462160000.0,Technology,EDP Services
NASDAQ_Top1000_ByMarketCap,GEHC,6,3,3,0,0,81.66666666666667,-7.506699580547408,-17.78327036678297,29454243144.0,Health Care,Medical Electronics
NASDAQ_Top1000_ByMarketCap,BIIB,17,7,10,0,0,85.58823529411765,-0.48433499277619774,-2.1806922919835046,29395288180.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ_Top1000_ByMarketCap,INIO,0,,,,,,,,29355000000.0,Consumer Discretionary,Metal Fabrications
NASDAQ_Top1000_ByMarketCap,CASY,45,25,20,0,0,87.37777777777778,0.8901159550584405,6.318789879005335,29317143117.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
NASDAQ_Top1000_ByMarketCap,ECHO,25,12,11,2,0,85.08,4.427617720958209,11.845383780472975,29216097725.0,,
NASDAQ_Top1000_ByMarketCap,TCOM,25,12,12,1,0,85.96,0.028734584586312336,-1.5507346290054624,29136460622.0,Consumer Discretionary,Business Services
NASDAQ_Top1000_ByMarketCap,MTSI,46,30,14,2,0,88.8695652173913,1.0284137205691493,6.871729240555863,28427042435.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,CPRT,37,24,13,0,0,89.29729729729729,0.39122326981280986,2.069434611218797,28181701512.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
NASDAQ_Top1000_ByMarketCap,FTAI,42,38,3,1,0,94.97619047619048,5.266487686233974,14.874044641322087,27803832273.0,Industrials,Misc Corporate Leasing Services
NASDAQ_Top1000_ByMarketCap,CINF,31,16,15,0,0,86.3225806451613,0.46865397496428846,1.172133111886131,27767817056.0,Finance,Property-Casualty Insurers
NASDAQ_Top1000_ByMarketCap,STRL,47,27,15,5,0,87.48936170212765,2.0266129567801503,12.483646957885762,27692846047.0,Industrials,Military/Government/Technical
NASDAQ_Top1000_ByMarketCap,FSLR,24,14,7,3,0,88.83333333333333,1.4634730874105653,-0.9102072970459512,27278647998.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,ASTS,11,5,6,0,0,84.81818181818181,20.152012698340798,22.250804681593777,27176482531.0,Consumer Discretionary,Telecommunications Equipment
NASDAQ_Top1000_ByMarketCap,KHC,12,7,5,0,0,86.5,-1.4169572554295773,-5.460650947752343,26970512376.0,Consumer Staples,Packaged Foods
NASDAQ_Top1000_ByMarketCap,DXCM,22,15,7,0,0,90.31818181818181,1.0343829565594416,2.945466553333863,26860617929.0,Health Care,Medical/Dental Instruments
NASDAQ_Top1000_ByMarketCap,ILMN,14,7,6,1,0,86.14285714285714,-2.3955088539888694,-9.741677364051524,26507760000.0,Health Care,Medical Specialities
NASDAQ_Top1000_ByMarketCap,AFRM,15,6,7,2,0,84.93333333333334,7.354343552381221,11.111256108499312,26410100836.0,Finance,Finance: Consumer Services
NASDAQ_Top1000_ByMarketCap,WWD,34,18,16,0,0,86.58823529411765,1.2970205961508312,5.061876480111985,26091334832.0,Energy,Industrial Machinery/Components
NASDAQ_Top1000_ByMarketCap,MKSI,23,17,2,4,0,92.52173913043478,3.01606622451425,10.795004914053735,26030156434.0,Industrials,Industrial Machinery/Components
NASDAQ_Top1000_ByMarketCap,ENTG,28,18,8,2,0,90.82142857142857,1.2863008694375033,6.412645623405914,25938725000.0,Industrials,Plastic Products
NASDAQ_Top1000_ByMarketCap,FISV,33,22,11,0,0,89.24242424242425,1.222420274507882,1.6757234665417788,25814825462.0,Consumer Discretionary,Business Services
NASDAQ_Top1000_ByMarketCap,JBHT,26,12,14,0,0,84.8076923076923,0.4305279191328333,1.920667439540611,25550369053.0,Industrials,Trucking Freight/Courier Services
NASDAQ_Top1000_ByMarketCap,ZM,14,8,6,0,0,84.64285714285714,4.667189460251237,11.047690639246913,25360188374.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,MDB,24,14,9,1,0,88.41666666666667,1.3511809940746033,1.5118989681380068,25007492583.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,FCNCA,33,21,10,2,0,88.45454545454545,0.16394999344419978,2.6813298438037987,24677589616.0,Finance,Major Banks
NASDAQ_Top1000_ByMarketCap,WTW,25,13,12,0,0,85.52,-1.8146577586130201,-1.4500825909186141,24642893658.0,Finance,Specialty Insurers
NASDAQ_Top1000_ByMarketCap,MRNA,21,8,10,3,0,84.04761904761905,9.639638841973484,25.14946626990882,24489647905.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ_Top1000_ByMarketCap,ROIV,19,11,6,2,0,87.89473684210526,5.228729608115335,12.755220836726686,24088365194.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,SYM,8,3,5,0,0,80.875,2.6690234882304615,-3.2504935870580196,23542933608.0,Industrials,Industrial Machinery/Components
NASDAQ_Top1000_ByMarketCap,VRSK,35,19,16,0,0,87.51428571428572,-0.1580816063541004,-0.849744248399717,23520385608.0,Industrials,Diversified Commercial Services
NASDAQ_Top1000_ByMarketCap,UTHR,38,24,11,3,0,89.15789473684211,0.7593480804763045,2.015796026114847,23211995941.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,PFG,24,13,11,0,0,86.79166666666667,0.3207296899054387,0.6088781948168388,23211610723.0,Finance,Accident &Health Insurance
