symbol,timestamp,data_fetch_timestamp,engine_mode,latest_price,l1_state,l1_reason,tactical_state,confidence,capital_action,message,indicators_used
MPWR,2026-05-15T19:56:03.230431+00:00,2026-05-15T19:56:02.694668+00:00,QUICK_CROSSOVER,1549.61,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"MPWR: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=40.7422%, slope=RISING. Extended support: PPO=BEARISH, RSI=53.5456, ADX=39.6421 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=4.4391% MEDIUM, 52W=MID_RANGE, Session=NORMAL -3.9877%, Gap=GAP_DOWN -3.5013%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
ASX,2026-05-15T19:56:04.439755+00:00,2026-05-15T19:56:03.856442+00:00,QUICK_CROSSOVER,33.92,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"ASX: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=69.5041%, slope=RISING. Extended support: PPO=BEARISH, RSI=63.9488, ADX=44.074 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=3.6964% MEDIUM, 52W=MID_RANGE, Session=NORMAL -3.7731%, Gap=GAP_DOWN -3.8298%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
NXPI,2026-05-15T19:56:05.727529+00:00,2026-05-15T19:56:05.080024+00:00,QUICK_CROSSOVER,291.83,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,MEDIUM,WAIT_FOR_1D_CONFIRMATION,"NXPI: L1=QUICK_CROSSOVER_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=29.5906%, slope=RISING. Extended support: PPO=BEARISH, RSI=64.5908, ADX=46.8229 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=3.9281% MEDIUM, 52W=NEAR_HIGH, Session=NORMAL -0.7955%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
STM,2026-05-15T19:56:06.987373+00:00,2026-05-15T19:56:06.403142+00:00,QUICK_CROSSOVER,61.45,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"STM: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=78.7858%, slope=RISING. Extended support: PPO=BEARISH, RSI=70.3506, ADX=55.6765 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.3875% MEDIUM, 52W=MID_RANGE, Session=NORMAL -4.5511%, Gap=GAP_DOWN -6.3141%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
MCHP,2026-05-15T19:56:08.253052+00:00,2026-05-15T19:56:07.670667+00:00,QUICK_CROSSOVER,93.81,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"MCHP: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=31.1948%, slope=RISING. Extended support: PPO=BEARISH, RSI=59.2692, ADX=51.1911 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=4.1086% MEDIUM, 52W=MID_RANGE, Session=NORMAL -3.3285%, Gap=GAP_DOWN -3.0276%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
ON,2026-05-15T19:56:09.410918+00:00,2026-05-15T19:56:08.869368+00:00,QUICK_CROSSOVER,113.15,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BULL_STRUCTURE_PULLBACK_RISK,HIGH,HOLD_WITH_RISK_CONTROL,"ON: L1=QUICK_CROSSOVER_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (HIGH); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high; opened with a bearish gap. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=70.6039%, slope=RISING. Extended support: PPO=BEARISH, RSI=69.3841, ADX=43.452 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.8075% MEDIUM, 52W=NEAR_HIGH, Session=NORMAL -4.4099%, Gap=GAP_DOWN -4.5349%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
UMC,2026-05-15T19:56:10.692514+00:00,2026-05-15T19:56:10.112540+00:00,QUICK_CROSSOVER,17.22,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BULL_STRUCTURE_PULLBACK_RISK,HIGH,HOLD_WITH_RISK_CONTROL,"UMC: L1=QUICK_CROSSOVER_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (HIGH); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=80.5316%, slope=RISING. Extended support: PPO=BULLISH, RSI=83.964, ADX=42.1013 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.1369% MEDIUM, 52W=NEAR_HIGH, Session=NORMAL 0.5254%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
GFS,2026-05-15T19:56:12.057270+00:00,2026-05-15T19:56:11.364815+00:00,QUICK_CROSSOVER,71.07,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"GFS: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=54.9851%, slope=RISING. Extended support: PPO=BEARISH, RSI=63.6095, ADX=43.4024 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=5.1303% HIGH, 52W=MID_RANGE, Session=NORMAL -3.7513%, Gap=GAP_DOWN -3.1555%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
ALAB,2026-05-15T19:56:13.363285+00:00,2026-05-15T19:56:12.666603+00:00,QUICK_CROSSOVER,233.75,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_WITH_RISK_CONTROL,"ALAB: L1=QUICK_CROSSOVER_REVIEW; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; opened with a bearish gap. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=52.6514%, slope=RISING. Extended support: PPO=BULLISH, RSI=70.3722, ADX=41.1367 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=7.0679% HIGH, 52W=MID_RANGE, Session=NORMAL 2.235%, Gap=GAP_DOWN -5.161%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
CRDO,2026-05-15T19:56:14.471344+00:00,2026-05-15T19:56:13.932429+00:00,QUICK_CROSSOVER,172.72,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"CRDO: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk; price sharply lower today; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=30.7183%, slope=RISING. Extended support: PPO=BEARISH, RSI=50.2102, ADX=34.9792 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=8.3897% HIGH, 52W=MID_RANGE, Session=EXTENDED_DOWN -6.4051%, Gap=GAP_DOWN -4.0316%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
Q,2026-05-15T19:56:16.182534+00:00,2026-05-15T19:56:15.109490+00:00,QUICK_CROSSOVER,156.3425,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,INSUFFICIENT_HISTORY_FOR_BASELINE,LOW,REVIEW_MANUALLY,"Q: L1=QUICK_CROSSOVER_REVIEW; L2=INSUFFICIENT_HISTORY_FOR_BASELINE (LOW); Capital_Action=REVIEW_MANUALLY. EMA200 requires at least 200 daily closes; 139 available. L2 tactical classification is withheld because the EMA200 baseline is not valid. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 requires at least 200 daily closes; 139 available; opened with a bearish gap. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 unavailable: EMA200 requires at least 200 daily closes; 139 available. Extended support: PPO=BULLISH, RSI=60.5543, ADX=37.0414 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.6048% MEDIUM, 52W=MID_RANGE, Session=NORMAL -4.7389%, Gap=GAP_DOWN -4.2164%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
TSEM,2026-05-15T19:56:17.549893+00:00,2026-05-15T19:56:16.858502+00:00,QUICK_CROSSOVER,274.6,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BULL_STRUCTURE_PULLBACK_RISK,MEDIUM,HOLD_WITH_RISK_CONTROL,"TSEM: L1=QUICK_CROSSOVER_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=106.1307%, slope=RISING. Extended support: PPO=BULLISH, RSI=71.0584, ADX=31.4153 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=6.5607% HIGH, 52W=NEAR_HIGH, Session=NORMAL -2.1697%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
MTSI,2026-05-15T19:56:18.897416+00:00,2026-05-15T19:56:18.167156+00:00,QUICK_CROSSOVER,377.64,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BULL_STRUCTURE_PULLBACK_RISK,HIGH,HOLD_WITH_RISK_CONTROL,"MTSI: L1=QUICK_CROSSOVER_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (HIGH); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; opened with a bearish gap. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=78.8883%, slope=RISING. Extended support: PPO=BULLISH, RSI=79.3337, ADX=36.8978 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.7955% MEDIUM, 52W=MID_RANGE, Session=NORMAL -1.5434%, Gap=GAP_DOWN -3.8664%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
